"VVVV" "KK" "kausi" "n.x" "lkm.x" "syntymakuukausi.x" "pct.x" "proportion.x" "lkm.y" "syntymakuukausi.y" "n.y" "pct.y" "proportion.y" "ika" "otoksenPoikkeamaVaestosta" "otoksenPoikkeamaVaestosta2"
"1" 1997 1 2011 185 34 "1-3" 0.183783783783784 0.432432432432432 5135 "1-3" 59329 0.0865512649800266 0.250973385696708 14 0.0972325188037572 0.181459046735724
"2" 1997 10 2011 185 8 "10-12" 0.0432432432432432 0.0864864864864865 4672 "10-12" 59329 0.0787473242427818 0.226027743599252 14 -0.0355040809995386 -0.139541257112766
"3" 1997 11 2011 185 6 "10-12" 0.0324324324324324 0.0864864864864865 4247 "10-12" 59329 0.0715838797215527 0.226027743599252 14 -0.0391514472891203 -0.139541257112766
"4" 1997 12 2011 185 2 "10-12" 0.0108108108108108 0.0864864864864865 4491 "10-12" 59329 0.0756965396349172 0.226027743599252 14 -0.0648857288241064 -0.139541257112766
"5" 1997 2 2011 185 27 "1-3" 0.145945945945946 0.432432432432432 4586 "1-3" 59329 0.0772977801749566 0.250973385696708 14 0.0686481657709894 0.181459046735724
"6" 1997 3 2011 185 19 "1-3" 0.102702702702703 0.432432432432432 5169 "1-3" 59329 0.087124340541725 0.250973385696708 14 0.0155783621609777 0.181459046735724
"7" 1997 4 2011 185 16 "4-6" 0.0864864864864865 0.286486486486487 5276 "4-6" 59329 0.0889278430447168 0.263800165180603 14 -0.00244135655823031 0.0226863213058835
"8" 1997 5 2011 185 18 "4-6" 0.0972972972972973 0.286486486486487 5237 "4-6" 59329 0.0882704916651216 0.263800165180603 14 0.0090268056321757 0.0226863213058835
"9" 1997 6 2011 185 19 "4-6" 0.102702702702703 0.286486486486487 5138 "4-6" 59329 0.0866018304707647 0.263800165180603 14 0.016100872231938 0.0226863213058835
"10" 1997 7 2011 185 13 "7-9" 0.0702702702702703 0.194594594594595 5388 "7-9" 59329 0.0908156213656054 0.259198705523437 14 -0.0205453510953351 -0.0646041109288424
"11" 1997 8 2011 185 13 "7-9" 0.0702702702702703 0.194594594594595 5114 "7-9" 59329 0.08619730654486 0.259198705523437 14 -0.0159270362745897 -0.0646041109288424
"12" 1997 9 2011 185 10 "7-9" 0.0540540540540541 0.194594594594595 4876 "7-9" 59329 0.0821857776129717 0.259198705523437 14 -0.0281317235589176 -0.0646041109288424
