"Nimi" "Joukkue" "Syntymäpaikka" "Kansalaisuus" "Syntymäaika" "Ikä" "Pituus" "Paino" "Maila" "KK" "VVVV" "ika" "kausi"
"207" "Mikkola, Niko*" "KalPa" "Kiiminki, FIN" "FIN" 1996-04-27 22 "196" "90" "L" 4 1996 19 16
"208" "Moberg, Sebastian" "HIFK" "-" "FIN" 1996-02-24 22 "181" "78" "L" 2 1996 19 16
"209" "Moisio, Patrik" "TPS" "Turku, FIN" "FIN" 1992-02-04 26 "187" "92" "L" 2 1992 23 16
"210" "Monto, Joona*" "HPK" "-" "FIN" 1994-06-22 24 "185" "87" "L" 6 1994 21 16
"211" "Mustonen, Aleksi" "Ilves" "Helsinki, FIN" "FIN" 1995-03-28 23 "175" "75" "L" 3 1995 20 16
"212" "Mutanen, Sami" "KalPa" "Joensuu, FIN" "FIN" 1984-09-20 34 "183" "93" "L" 9 1984 31 16
"213" "Myllyniemi, Jere" "HPK" "Kangasala, FIN" "FIN" 1983-01-24 35 "185" "84" "L" 1 1983 32 16
"214" "Mäenalanen, Saku" "Kärpät" "Kemi, FIN" "FIN" 1994-05-29 24 "192" "84" "L" 5 1994 21 16
"215" "Mäkelä, Aleksi" "Ilves" "Tampere, FIN" "FIN" 1995-02-08 23 "188" "93" "L" 2 1995 20 16
"216" "Mäkinen, Atte" "Tappara" "Tampere, FIN" "FIN" 1995-05-17 23 "191" "92" "R" 5 1995 20 16
"217" "Mäkinen, Konsta" "Ilves" "Pirkkala, FIN" "FIN" 1992-01-19 26 "175" "78" "L" 1 1992 23 16
"218" "Mäkinen, William*" "SaiPa" "Jämsänkoski, FIN" "FIN" 1995-06-19 23 "183" "79" "L" 6 1995 20 16
"219" "Mäntylä, Tuukka" "Tappara" "Tampere, FIN" "FIN" 1981-05-25 37 "171" "85" "L" 5 1981 34 16
"220" "Nenonen, Markus" "JYP" "Jämsänkoski, FIN" "FIN" 1992-10-29 26 "187" "94" "L" 10 1992 23 16
"221" "Niemelä, Joonas*" "Blues" "Espoo, FIN" "FIN" 1997-01-14 21 "180" "82" "L" 1 1997 18 16
"222" "Niemelä, Mikko" "Kärpät" "Oulu, FIN" "FIN" 1990-10-09 28 "187" "90" "R" 10 1990 25 16
"223" "Niemi, Mika" "Kärpät" "Pori, FIN" "FIN" 1988-03-10 30 "186" "84" "L" 3 1988 27 16
"224" "Niemi, Jyri+" "Ilves" "Hämeenkyrö, FIN" "FIN" 1990-06-15 28 "188" "94" "L" 6 1990 25 16
"225" "Niemi, Timo*" "Sport" "-" "FIN" 1992-09-16 26 "185" "83" "L" 9 1992 23 16
"226" "Nieminen, Jani" "SaiPa" "Helsinki, FIN" "FIN" 1987-07-28 31 "178" "87" "L" 7 1987 28 16
"227" "Nieminen, Otto*" "TPS" "Somero, FIN" "FIN" 1996-05-08 22 "175" "87" "L" 5 1996 19 16
"228" "Nikkilä, Petteri" "HPK" "Hämeenlinna, FIN" "FIN" 1992-07-27 26 "180" "83" "L" 7 1992 23 16
"229" "Nikko, Aleksi*" "Sport" "-" "FIN" 1997-07-22 21 "187" "94" "L" 7 1997 18 16
"230" "Nikko, Joni" "KalPa" "Vaasa, FIN" "FIN" 1994-05-31 24 "187" "90" "L" 5 1994 21 16
"231" "Niku, Sami*+" "JYP" "Haapavesi, FIN" "FIN" 1996-10-10 22 "183" "80" "L" 10 1996 19 16
"232" "Niskala, Janne" "Lukko" "Västerås, SWE" "FIN" 1981-09-22 37 "183" "91" "L" 9 1981 34 16
"233" "Nisula, Matias*" "Blues" "-" "FIN" 1996-03-15 22 "185" "82" "L" 3 1996 19 16
"234" "Nokelainen, Petteri+" "SaiPa" "-" "FIN" 1986-01-16 32 "185" "86" "L" 1 1986 29 16
"235" "Nummelin, Petteri" "TPS" "Turku, FIN" "FIN" 1972-11-25 46 "178" "88" "L" 11 1972 43 16
"236" "Nurmi, Teemu" "Lukko" "Tampere, FIN" "FIN" 1985-02-24 33 "186" "92" "R" 2 1985 30 16
"237" "Nutivaara, Markus+" "Kärpät" "-" "FIN" 1994-06-06 24 "183" "79" "L" 6 1994 21 16
"238" "Nuto, Kasperi*+" "Ässät" "Lieksa, FIN" "FIN" 1995-08-31 23 "174" "69" "L" 8 1995 20 16
"239" "Nuutinen, Mikko*" "KalPa" "Kuopio, FIN" "FIN" 1990-10-06 28 "173" "82" "R" 10 1990 25 16
"240" "Nykopp, Thomas" "HIFK" "Helsinki, FIN" "FIN" 1993-03-06 25 "190" "90" "L" 3 1993 22 16
"241" "Nyqvist, Julius" "KooKoo" "Vantaa, FIN" "FIN" 1992-10-29 26 "180" "83" "R" 10 1992 23 16
"242" "Näppilä, Jarkko" "Ilves" "Tampere, FIN" "FIN" 1988-07-06 30 "185" "85" "L" 7 1988 27 16
"243" "Nättinen, Joonas" "JYP" "Jämsä, FIN" "FIN" 1991-01-03 27 "189" "88" "R" 1 1991 24 16
"244" "Nättinen, Topi" "JYP" "Jyväskylä, FIN" "FIN" 1994-04-01 24 "178" "86" "L" 4 1994 21 16
"245" "Ojamäki, Niko" "Ässät" "Pori, FIN" "FIN" 1995-06-17 23 "180" "83" "R" 6 1995 20 16
"246" "Paajanen, Otto" "HPK" "Loppi, FIN" "FIN" 1992-09-13 26 "180" "87" "L" 9 1992 23 16
"247" "Parikka, Jarkko*" "Ilves" "Imatra, FIN" "FIN" 1997-09-06 21 "182" "85" "L" 9 1997 18 16
"248" "Partanen, Mika" "HIFK" "Helsinki, FIN" "FIN" 1992-10-18 26 "188" "95" "L" 10 1992 23 16
"249" "Pekkala, Sami*" "Kärpät" "-" "FIN" 1995-09-12 23 "170" "70" "L" 9 1995 20 16
"250" "Pelli, Arttu*" "KooKoo" "Kouvola, FIN" "FIN" 1996-08-22 22 "176" "78" "R" 8 1996 19 16
"251" "Peltola, Jukka" "Tappara" "Tampere, FIN" "FIN" 1987-08-26 31 "185" "85" "L" 8 1987 28 16
"252" "Peltola, Niko" "Sport" "Huittinen, FIN" "FIN" 1990-06-01 28 "187" "91" "L" 6 1990 25 16
"253" "Peltonen, Tomi" "KooKoo" "Tampere, FIN" "FIN" 1987-01-22 31 "179" "80" "L" 1 1987 28 16
"254" "Pentikäinen, Atte" "Kärpät" "Juupajoki, FIN" "FIN" 1982-12-13 35 "194" "105" "L" 12 1982 33 16
"255" "Perhonen, Samu" "KalPa" "Jämsänkoski, FIN" "FIN" 1993-03-07 25 "196" "89" "L" 3 1993 22 16
"256" "Pietilä, Juha-Pekka" "Pelicans" "Hollola, FIN" "FIN" 1991-04-30 27 "191" "90" "R" 4 1991 24 16
"257" "Pietilä, Misa*" "SaiPa" "-" "FIN" 1994-08-28 24 "184" "82" "L" 8 1994 21 16
"258" "Pihlman, Tuomas" "JYP" "Espoo, FIN" "FIN" 1982-11-13 36 "188" "94" "L" 11 1982 33 16
"259" "Piipponen, Topi*" "KalPa" "Siilinjärvi, FIN" "FIN" 1997-05-02 21 "182" "84" "L" 5 1997 18 16
"260" "Piitulainen, Jesper" "Lukko" "Savonlinna, FIN" "FIN" 1991-08-13 27 "172" "78" "R" 8 1991 24 16
"261" "Pikkarainen, Ilkka" "TPS" "Sonkajärvi, FIN" "FIN" 1981-04-19 37 "188" "94" "R" 4 1981 34 16
"262" "Pirnes, Esa" "Kärpät" "-" "FIN" 1977-04-01 41 "184" "84" "L" 4 1977 38 16
"263" "Pitkänen, Ilmari" "Blues" "Viljakkala, FIN" "FIN" 1990-07-18 28 "182" "87" "L" 7 1990 25 16
"264" "Pitkänen, Joni+" "Kärpät" "-" "FIN" 1983-09-19 35 "190" "95" "L" 9 1983 32 16
"265" "Pitkänen, Miikka*" "KalPa" "Kuopio, FIN" "FIN" 1996-04-27 22 "177" "72" "L" 4 1996 19 16
"266" "Puhakka, Janne*" "Blues" "-" "FIN" 1995-02-24 23 "183" "82" "L" 2 1995 20 16
"267" "Pukka, Mikko" "Sport" "Suodenniemi, FIN" "FIN" 1982-09-06 36 "185" "94" "L" 9 1982 33 16
"268" "Puljujärvi, Jesse" "Kärpät" "-" "FIN" 1998-05-07 20 "190" "89" "R" 5 1998 17 16
"269" "Pulli, Matias*" "Blues" "Raisio, FIN" "FIN" 1995-03-08 23 "175" "70" "R" 3 1995 20 16
"270" "Pulli, Juuso" "JYP" "Kouvola, FIN" "FIN" 1991-08-30 27 "185" "90" "L" 8 1991 24 16
"271" "Puustinen, Juuso" "HIFK" "Kuopio, FIN" "FIN" 1988-04-05 30 "187" "88" "R" 4 1988 27 16
"272" "Pyörälä, Mika" "Kärpät" "Oulu, FIN" "FIN" 1981-07-13 37 "182" "81" "L" 7 1981 34 16
"273" "Pöyhönen, Marko" "Pelicans" "Hollola, FIN" "FIN" 1987-09-10 31 "180" "84" "L" 9 1987 28 16
"274" "Rajala, Juuso" "KooKoo" "Tampere, FIN" "FIN" 1988-08-27 30 "180" "83" "L" 8 1988 27 16
"275" "Rajala, Ville" "Sport" "-" "FIN" 1989-06-23 29 "187" "91" "L" 6 1989 26 16
"276" "Rajaniemi, Sami" "Kärpät" "Oulainen, FIN" "FIN" 1992-08-20 26 "184" "83" "L" 8 1992 23 16
"277" "Ramstedt, Teemu" "HIFK" "Helsinki, FIN" "FIN" 1987-12-09 30 "180" "87" "L" 12 1987 28 16
"278" "Rantamäki, Jesse*" "Sport" "Seinäjoki, FIN" "FIN" 1996-08-12 22 "183" "92" "R" 8 1996 19 16
"279" "Rasilainen, Samuli*" "Blues" "-" "FIN" 1996-06-21 22 "187" "91" "L" 6 1996 19 16
"280" "Rask, Joonas" "HIFK" "Savonlinna, FIN" "FIN" 1990-03-24 28 "180" "84" "R" 3 1990 25 16
"281" "Rauhala, Otto" "Tappara" "Ylöjärvi, FIN" "FIN" 1995-04-12 23 "180" "90" "L" 4 1995 20 16
"282" "Rautiainen, Kimmo*" "Tappara" "Savonlinna, FIN" "FIN" 1998-03-09 20 "178" "72" "L" 3 1998 17 16
"283" "Rautiainen, Teemu+" "Ilves" "Nurmijärvi, FIN" "FIN" 1992-03-13 26 "169" "75" "L" 3 1992 23 16
"284" "Rautio, Tomi*" "KooKoo" "Kouvola, FIN" "FIN" 1996-03-18 22 "182" "83" "L" 3 1996 19 16
"285" "Rekonen, Aleksi" "Pelicans" "Helsinki, FIN" "FIN" 1993-07-23 25 "181" "87" "L" 7 1993 22 16
"286" "Repo, Sebastian*" "Pelicans" "Lahti, FIN" "FIN" 1996-06-23 22 "189" "94" "R" 6 1996 19 16
"287" "Riekkinen, Joonas" "Ilves" "Varpaisjärvi, FIN" "FIN" 1987-08-11 31 "181" "86" "L" 8 1987 28 16
"288" "Riikola, Juuso" "KalPa" "Joensuu, FIN" "FIN" 1993-11-09 25 "184" "86" "L" 11 1993 22 16
"289" "Riikola, Simo-Pekka" "SaiPa" "Joensuu, FIN" "FIN" 1992-02-03 26 "186" "90" "R" 2 1992 23 16
"290" "Rinne, Rasmus" "Lukko" "Hyvinkää, FIN" "FIN" 1990-07-08 28 "195" "95" "L" 7 1990 25 16
"291" "Riska, Erik" "Sport" "Pietarsaari, FIN" "FIN" 1989-05-16 29 "188" "92" "L" 5 1989 26 16
"292" "Riska, Filip" "Lukko" "Pietarsaari, FIN" "FIN" 1985-05-13 33 "184" "91" "L" 5 1985 30 16
"293" "Rissanen, Jaakko+" "KalPa" "Kuopio, FIN" "FIN" 1989-11-12 29 "182" "85" "L" 11 1989 26 16
"294" "Ritamäki, Janne" "Pelicans" "Heinola, FIN" "FIN" 1986-08-13 32 "185" "86" "L" 8 1986 29 16
"295" "Roine, Miika*" "Pelicans" "Jyväskylä, FIN" "FIN" 1991-12-08 26 "180" "80" "L" 12 1991 24 16
"296" "Ronkainen, Taneli*" "Kärpät" "Kuusamo, FIN" "FIN" 1995-03-28 23 "183" "79" "L" 3 1995 20 16
"297" "Rouhiainen, Jere*" "Tappara" "Tampere, FIN" "FIN" 1996-01-16 22 "182" "78" "L" 1 1996 19 16
"298" "Rukajärvi, Roni*" "Pelicans" "Oulu, FIN" "FIN" 1993-09-03 25 "183" "82" "R" 9 1993 22 16
"299" "Ruohomaa, Mikael" "KalPa" "Alastaro, FIN" "FIN" 1988-11-17 30 "185" "82" "L" 11 1988 27 16
"300" "Ruokonen, Miro*" "HPK" "Forssa, FIN" "FIN" 1996-03-27 22 "182" "87" "L" 3 1996 19 16
"301" "Ruokonen, Ville*" "SaiPa" "Lappeenranta, FIN" "FIN" 1998-03-13 20 "182" "87" "L" 3 1998 17 16
"302" "Ruotsalainen, Arttu*" "Ässät" "Oulu, FIN" "FIN" 1997-10-29 21 "173" "81" "L" 10 1997 18 16
"303" "Ruuskanen, Waltteri*" "KalPa" "Kuopio, FIN" "FIN" 1997-07-23 21 "192" "95" "R" 7 1997 18 16
"304" "Ruusu, Markus" "JYP" "Jämsä, FIN" "FIN" 1997-08-23 21 "188" "78" "L" 8 1997 18 16
"305" "Rämö, Juuso*" "Ilves" "-" "FIN" 1994-05-07 24 "187" "87" "L" 5 1994 21 16
"306" "Saarela, Aleksi" "Ässät" "Helsinki, FIN" "FIN" 1997-01-07 21 "178" "85" "L" 1 1997 18 16
"307" "Saarelainen, Miro-Pekka*" "HIFK" "Vantaa, FIN" "FIN" 1994-04-26 24 "177" "80" "R" 4 1994 21 16
"308" "Saari, Santeri*" "HPK" "Helsinki, FIN" "FIN" 1994-10-18 24 "186" "87" "L" 10 1994 21 16
"309" "Saari, Micke*+" "Blues" "Kirkkonummi, FIN" "FIN" 1994-04-19 24 "185" "81" "L" 4 1994 21 16
"310" "Saha, Mikael" "Ässät" "Loimaa, FIN" "FIN" 1995-03-05 23 "188" "84" "L" 3 1995 20 16
"311" "Sailio, Jari" "Kärpät" "Hyvinkää, FIN" "FIN" 1986-03-18 32 "179" "84" "L" 3 1986 29 16
"312" "Salmela, Saku" "Ilves" "Helsinki, FIN" "FIN" 1990-05-16 28 "176" "84" "L" 5 1990 25 16
"313" "Salmi, Juuso" "HIFK" "Helsinki, FIN" "FIN" 1991-07-15 27 "187" "90" "L" 7 1991 24 16
"314" "Salmio, Mikko" "JYP" "Jämsä, FIN" "FIN" 1991-07-13 27 "192" "92" "L" 7 1991 24 16
"315" "Salo, Niklas*" "TPS" "Somero, FIN" "FIN" 1994-07-08 24 "165" "69" "L" 7 1994 21 16
"316" "Salo, Robin*" "Sport" "Espoo, FIN" "FIN" 1998-10-13 20 "185" "86" "L" 10 1998 17 16
"317" "Salonen, Aleksi" "Tappara" "Muurame, FIN" "FIN" 1993-02-03 25 "179" "81" "R" 2 1993 22 16
"318" "Sammalkangas, Tapio" "Ässät" "Tampere, FIN" "FIN" 1980-03-16 38 "180" "92" "L" 3 1980 35 16
"319" "Sandell, Sami+" "Ilves" "Nokia, FIN" "FIN" 1987-03-01 31 "188" "94" "L" 3 1987 28 16
"320" "Saravo, Pekka" "Tappara" "Rovaniemi, FIN" "FIN" 1979-11-13 39 "187" "92" "L" 11 1979 36 16
"321" "Savilahti, Eero" "Ilves" "Tampere, FIN" "FIN" 1992-08-10 26 "186" "89" "L" 8 1992 23 16
"322" "Savinainen, Veli-Matti" "Tappara" "Espoo, FIN" "FIN" 1986-01-05 32 "182" "82" "L" 1 1986 29 16
"323" "Seppälä, Jere" "Blues" "Kemi, FIN" "FIN" 1993-01-04 25 "174" "72" "L" 1 1993 22 16
"324" "Setänen, Oskari+" "TPS" "Eura, FIN" "FIN" 1994-04-28 24 "184" "80" "L" 4 1994 21 16
"325" "Siiki, Oskari" "Blues" "Turku, FIN" "FIN" 1995-05-05 23 "182" "84" "L" 5 1995 20 16
"326" "Siikonen, Miska*" "Pelicans" "Tampere, FIN" "FIN" 1996-05-12 22 "190" "92" "L" 5 1996 19 16
"327" "Sillanpää, Severi" "HPK" "Pori, FIN" "FIN" 1988-02-07 30 "182" "82" "L" 2 1988 27 16
"328" "Similä, Petteri" "KalPa" "-" "FIN" 1990-04-09 28 "196" "94" "L" 4 1990 25 16
"329" "Sipiläinen, Olli" "Lukko" "Lappeenranta, FIN" "FIN" 1977-07-24 41 "178" "85" "L" 7 1977 38 16
"330" "Sointu, Matias" "Ilves" "Tampere, FIN" "FIN" 1990-02-10 28 "178" "76" "L" 2 1990 25 16
"331" "Somervuori, Eero" "HPK" "Järvenpää, FIN" "FIN" 1979-02-07 39 "176" "80" "R" 2 1979 36 16
"332" "Sopanen, Eetu*" "Pelicans" "Kouvola, FIN" "FIN" 1996-04-24 22 "196" "98" "R" 4 1996 19 16
"333" "Sopanen, Vili" "Pelicans" "Valkeala, FIN" "FIN" 1987-10-21 31 "191" "99" "R" 10 1987 28 16
"334" "Strömberg, Kim+" "SaiPa" "Helsinki, FIN" "FIN" 1987-12-08 30 "190" "93" "L" 12 1987 28 16
"335" "Sund, Joel*" "JYP" "Jämsä, FIN" "FIN" 1993-03-24 25 "185" "95" "R" 3 1993 22 16
"336" "Sundfors, Niklas*" "Sport" "Pietarsaari, FIN" "FIN" 1995-05-08 23 "178" "81" "L" 5 1995 20 16
"337" "Suomela, Antti*" "Blues" "Espoo, FIN" "FIN" 1994-03-17 24 "183" "80" "L" 3 1994 21 16
"338" "Suomi, Eemeli*" "Ilves" "Tampere, FIN" "FIN" 1995-12-04 22 "177" "83" "L" 12 1995 20 16
"339" "Suoranta, Simon+" "Kärpät" "Vaasa, FIN" "FIN" 1992-05-21 26 "190" "94" "L" 5 1992 23 16
"340" "Suuronen, Toni*" "Lukko" "Hamina, FIN" "FIN" 1995-06-30 23 "183" "83" "L" 6 1995 20 16
"341" "Suutari, Joni" "SaiPa" "Lappeenranta, FIN" "FIN" 1992-04-17 26 "177" "79" "L" 4 1992 23 16
"342" "Taimi, Tommi" "HIFK" "Pori, FIN" "FIN" 1990-09-21 28 "180" "92" "R" 9 1990 25 16
"343" "Taipalus, Lauri" "HIFK" "Alavus, FIN" "FIN" 1988-01-14 30 "182" "84" "L" 1 1988 27 16
"344" "Tallberg, Teemu" "Sport" "Helsinki, FIN" "FIN" 1991-05-13 27 "186" "86" "L" 5 1991 24 16
"345" "Tammela, Jonne" "KalPa" "-" "FIN" 1997-08-05 21 "180" "82" "L" 8 1997 18 16
"346" "Tamminen, Henri*" "HIFK" "Espoo, FIN" "FIN" 1993-04-22 25 "190" "92" "R" 4 1993 22 16
"347" "Tarkki, Tuomas" "JYP" "Rauma, FIN" "FIN" 1980-02-28 38 "193" "92" "L" 2 1980 35 16
"348" "Tarkki, Iiro+" "Kärpät" "-" "FIN" 1985-07-01 33 "189" "83" "L" 7 1985 30 16
"349" "Tavi, Janne" "JYP" "Helsinki, FIN" "FIN" 1989-09-13 29 "178" "82" "L" 9 1989 26 16
"350" "Teppo, Miihkali" "HIFK" "Helsinki, FIN" "FIN" 1992-12-28 25 "189" "87" "L" 12 1992 23 16
"351" "Tiivola, Peter" "Lukko" "Helsinki, FIN" "FIN" 1993-09-05 25 "192" "97" "L" 9 1993 22 16
"352" "Tikka, Tommi*" "Sport" "Helsinki, FIN" "FIN" 1995-08-28 23 "190" "90" "L" 8 1995 20 16
"353" "Tikkanen, Harri" "TPS" "Lappeenranta, FIN" "FIN" 1981-06-02 37 "175" "80" "R" 6 1981 34 16
"354" "Timonen, Jussi" "KalPa" "Kuopio, FIN" "FIN" 1983-06-29 35 "183" "90" "L" 6 1983 32 16
"355" "Toivonen, Hannu" "Ilves" "Hattula, FIN" "FIN" 1984-05-18 34 "190" "93" "L" 5 1984 31 16
"356" "Tommila, Juho" "Lukko" "Lappi TL, FIN" "FIN" 1993-02-09 25 "184" "86" "R" 2 1993 22 16
"357" "Tornberg, Reko*" "Kärpät" "-" "FIN" 1995-02-04 23 "182" "84" "R" 2 1995 20 16
"358" "Torpström, Eetu" "KalPa" "-" "FIN" 1997-09-17 21 "183" "83" "R" 9 1997 18 16
"359" "Tukonen, Lauri+" "TPS" "Hyvinkää, FIN" "FIN" 1986-09-01 32 "188" "90" "R" 9 1986 29 16
"360" "Tuominen, Henri" "Ilves" "Masku, FIN" "FIN" 1991-09-10 27 "193" "90" "L" 9 1991 24 16
"361" "Tuomisto, Tomi" "HIFK" "Nurmijärvi, FIN" "FIN" 1990-05-04 28 "187" "94" "L" 5 1990 25 16
"362" "Tuppurainen, Jani" "JYP" "Oulu, FIN" "FIN" 1980-03-30 38 "180" "80" "L" 3 1980 35 16
"363" "Tuulola, Eetu*" "HPK" "Hämeenlinna, FIN" "FIN" 1998-03-17 20 "190" "98" "R" 3 1998 17 16
"364" "Tuulola, Joni" "HPK" "Hämeenlinna, FIN" "FIN" 1996-01-01 22 "188" "90" "L" 1 1996 19 16
"365" "Tyrväinen, Juhani" "Pelicans" "Seinäjoki, FIN" "FIN" 1990-09-11 28 "181" "87" "L" 9 1990 25 16
"366" "Uusitalo, Ville" "Ässät" "Espoo, FIN" "FIN" 1979-07-06 39 "181" "79" "L" 7 1979 36 16
"367" "Vaakanainen, Urho*+" "Blues" "Joensuu, FIN" "FIN" 1999-01-01 19 "185" "85" "L" 1 1999 16 16
"368" "Vahalahti, Ville" "Lukko" "Parainen, FIN" "FIN" 1977-11-07 41 "183" "91" "L" 11 1977 38 16
"369" "Vainikainen, Ville*" "SaiPa" "Kuopio, FIN" "FIN" 1994-01-26 24 "180" "85" "L" 1 1994 21 16
"370" "Vainio, Juuso+" "JYP" "Hämeenlinna, FIN" "FIN" 1994-09-06 24 "185" "90" "R" 9 1994 21 16
"371" "Vainio, Olli*" "Ilves" "Tampere, FIN" "FIN" 1994-04-23 24 "185" "82" "R" 4 1994 21 16
"372" "Vainio, Veeti*" "Blues" "Espoo, FIN" "FIN" 1997-06-16 21 "189" "84" "R" 6 1997 18 16
"373" "Vainiola, Ville-Vesa" "TPS" "Rauma, FIN" "FIN" 1985-04-02 33 "187" "90" "L" 4 1985 30 16
"374" "Vainonen, Mikko" "Ässät" "Helsinki, FIN" "FIN" 1994-04-11 24 "190" "95" "L" 4 1994 21 16
"375" "Vallin, Ari" "KooKoo" "-" "FIN" 1978-03-21 40 "181" "93" "L" 3 1978 37 16
"376" "Valtonen, Julius*" "HPK" "Tuusula, FIN" "FIN" 1995-08-09 23 "190" "93" "R" 8 1995 20 16
"377" "Vartiainen, Taavi" "Pelicans" "Lahti, FIN" "FIN" 1994-06-30 24 "187" "91" "L" 6 1994 21 16
"378" "Varttinen, Matias*" "Ässät" "Eura, FIN" "FIN" 1995-07-19 23 "169" "69" "R" 7 1995 20 16
"379" "Vauhkonen, Olavi" "Lukko" "Helsinki, FIN" "FIN" 1989-01-24 29 "194" "109" "R" 1 1989 26 16
"380" "Vehviläinen, Veini*" "JYP" "Jyväskylä, FIN" "FIN" 1997-02-13 21 "184" "79" "L" 2 1997 18 16
"381" "Veistola, Jiri" "Ilves" "Vantaa, FIN" "FIN" 1988-03-21 30 "179" "80" "R" 3 1988 27 16
"382" "Venäläinen, Sami" "SaiPa" "Kangasala, FIN" "FIN" 1981-10-14 37 "180" "89" "R" 10 1981 34 16
"383" "Vidgren, Aaro*" "Lukko" "Lohja, FIN" "FIN" 1997-05-30 21 "189" "84" "L" 5 1997 18 16
"384" "Vihko, Joonas" "Ilves" "Helsinki, FIN" "FIN" 1981-04-06 37 "176" "84" "R" 4 1981 34 16
"385" "Viitala, Henri*" "HPK" "-" "FIN" 1995-05-14 23 "195" "86" "L" 5 1995 20 16
"386" "Viitanen, Mikko+" "Ässät" "Nurmijärvi, FIN" "FIN" 1982-02-18 36 "192" "100" "L" 2 1982 33 16
"387" "Viksten, Nico*" "Ilves" "Tampere, FIN" "FIN" 1997-03-29 21 "183" "76" "L" 3 1997 18 16
"388" "Viljanen, Valtteri" "Ässät" "Pori, FIN" "FIN" 1994-03-03 24 "173" "78" "R" 3 1994 21 16
"389" "Virkkunen, Valtteri" "SaiPa" "Espoo, FIN" "FIN" 1991-02-18 27 "176" "83" "L" 2 1991 24 16
"390" "Virta, Patrik" "TPS" "Hämeenlinna, FIN" "FIN" 1996-03-06 22 "176" "82" "R" 3 1996 19 16
"391" "Virtanen, Jesse" "Lukko" "Rauma, FIN" "FIN" 1991-08-07 27 "180" "85" "L" 8 1991 24 16
"392" "Virtanen, Jonne" "TPS" "Turku, FIN" "FIN" 1988-03-13 30 "197" "113" "L" 3 1988 27 16
"393" "Virtanen, Mikko" "KooKoo" "Kouvola, FIN" "FIN" 1994-03-07 24 "184" "78" "R" 3 1994 21 16
"394" "Virtanen, Mikko*" "JYP" "-" "FIN" 1991-06-29 27 "182" "79" "L" 6 1991 24 16
"395" "Vittasmäki, Veli-Matti" "Ilves" "Turku, FIN" "FIN" 1990-07-03 28 "186" "93" "L" 7 1990 25 16
"396" "Vuorisalo, Teemu" "Ässät" "Pori, FIN" "FIN" 1995-06-04 23 "179" "79" "R" 6 1995 20 16
"397" "Vuoti, Santeri*" "HPK" "Hyvinkää, FIN" "FIN" 1995-02-01 23 "175" "85" "L" 2 1995 20 16
"398" "Vähätalo, Julius" "TPS" "Vahto, FIN" "FIN" 1995-03-23 23 "196" "87" "L" 3 1995 20 16
"399" "Väkelä, Jesse*" "Sport" "Vaasa, FIN" "FIN" 1995-07-09 23 "183" "85" "R" 7 1995 20 16
"400" "Väliharju, Sami*" "Kärpät" "Oulu, FIN" "FIN" 1996-09-06 22 "190" "86" "L" 9 1996 19 16
"401" "Välimaa, Tommi" "Ilves" "Kangasala, FIN" "FIN" 1984-01-20 34 "196" "88" "L" 1 1984 31 16
"402" "Vänttinen, Tuomas" "Sport" "Savonlinna, FIN" "FIN" 1983-07-29 35 "176" "91" "R" 7 1983 32 16
"403" "Västilä, Markus" "KooKoo" "-" "FIN" 1992-11-30 25 "182" "83" "L" 11 1992 23 16
"404" "Väyrynen, Teemu*" "Blues" "Joensuu, FIN" "FIN" 1997-04-28 21 "175" "78" "L" 4 1997 18 16
"405" "Walli, Juuso*" "Ässät" "Tampere, FIN" "FIN" 1996-07-03 22 "195" "106" "L" 7 1996 19 16
"406" "Westermarck, Felix*" "Sport" "Espoo, FIN" "FIN" 1995-04-08 23 "186" "92" "L" 4 1995 20 16
"407" "Westermarck, Victor" "Blues" "Espoo, FIN" "FIN" 1994-02-26 24 "188" "92" "R" 2 1994 21 16
"408" "Yrjölä, Lassi" "Ilves" "Tampere, FIN" "FIN" 1994-07-31 24 "187" "86" "L" 7 1994 21 16
"409" "Åsten, Micke-Max" "HIFK" "Helsinki, FIN" "FIN" 1992-06-10 26 "182" "87" "L" 6 1992 23 16
