"Nimi" "Joukkue" "Syntymäpaikka" "Kansalaisuus" "Syntymäaika" "Ikä" "Pituus" "Paino" "Maila" "KK" "VVVV" "ika" "kausi"
"48" "Heljanko, Christian*" "HIFK" "Porvoo, FIN" "FIN" 1997-04-02 21 "182" "76" "L" 4 1997 18 16
"49" "Hietanen, Valtteri" "JYP" "Virrat, FIN" "FIN" 1992-12-23 25 "186" "88" "L" 12 1992 23 16
"50" "Hintz, Roope" "HIFK" "Tampere, FIN" "FIN" 1996-11-17 22 "191" "94" "L" 11 1996 19 16
"51" "Hirschovits, Kim" "Kärpät" "-" "FIN" 1982-05-09 36 "184" "88" "L" 5 1982 33 16
"52" "Honkaheimo, Otto" "HPK" "Rauma, FIN" "FIN" 1985-08-03 33 "184" "94" "L" 8 1985 30 16
"53" "Honkanen, Manu*" "Tappara" "Turku, FIN" "FIN" 1996-04-29 22 "178" "70" "R" 4 1996 19 16
"54" "Hopponen, Erno*" "Blues" "Helsinki, FIN" "FIN" 1996-12-16 21 "185" "92" "L" 12 1996 19 16
"55" "Hopponen, Waltteri*" "HPK" "Helsinki, FIN" "FIN" 1996-02-04 22 "185" "85" "L" 2 1996 19 16
"56" "Hotakainen, Valtteri" "JYP" "Kokkola, FIN" "FIN" 1990-04-24 28 "187" "89" "L" 4 1990 25 16
"57" "Hovinen, Miro" "Pelicans" "Espoo, FIN" "FIN" 1992-04-29 26 "192" "95" "L" 4 1992 23 16
"58" "Hovinen, Niko" "Pelicans" "Helsinki, FIN" "FIN" 1988-03-16 30 "200" "102" "L" 3 1988 27 16
"59" "Huhtanen, Miika*" "SaiPa" "Lappeenranta, FIN" "FIN" 1993-07-23 25 "177" "76" "L" 7 1993 22 16
"60" "Huhtanen, Tuomas" "KooKoo" "Noormarkku, FIN" "FIN" 1987-03-16 31 "188" "93" "L" 3 1987 28 16
"61" "Humaloja, Miska" "Kärpät" "Pyhäjärvi, FIN" "FIN" 1991-05-15 27 "182" "90" "L" 5 1991 24 16
"62" "Hurri, Joonas" "Pelicans" "Lahti, FIN" "FIN" 1991-03-31 27 "181" "80" "L" 3 1991 24 16
"63" "Husso, Ville" "HIFK" "Helsinki, FIN" "FIN" 1995-02-06 23 "187" "83" "L" 2 1995 20 16
"64" "Hyvärinen, Toni" "KooKoo" "Kuopio, FIN" "FIN" 1988-07-14 30 "183" "90" "R" 7 1988 27 16
"65" "Hämäläinen, Ville" "SaiPa" "Lappeenranta, FIN" "FIN" 1981-07-06 37 "181" "80" "L" 7 1981 34 16
"66" "Hämäläinen, Aleksi*" "KalPa" "Suonenjoki, FIN" "FIN" 1995-11-30 22 "182" "78" "L" 11 1995 20 16
"67" "Iisakka, Olli" "Blues" "-" "FIN" 1996-08-09 22 "190" "83" "L" 8 1996 19 16
"68" "Ikonen, Juuso" "Kärpät" "Espoo, FIN" "FIN" 1995-01-03 23 "175" "77" "R" 1 1995 20 16
